BTCUSDT ETHUSDT BNBUSDT SOLUSDT ADAUSDT
TRXUSDT AVAXUSDT TONUSDT SUIUSDT HBARUSDT
HYPEUSDT BCHUSDT NEARUSDT APTUSDT ICPUSDT
CROUSDT VETUSDT XMRUSDT TAOUSDT OMUSDT
FILUSDT KASUSDT ALGOUSDT FTMUSDT TIAUSDT
THETAUSDT INJUSDT SEIUSDT GALAUSDT FLRUSDT
FTNUSDT XTZUSDT KAIAUSDT FLOWUSDT DYDXUSDT
ARUSDT IOTAUSDT COREUSDT AIOZUSDT EGLDUSDT
CHZUSDT RONUSDT GNOUSDT XECUSDT VANAUSDT
ROSEUSDT KAVAUSDT ASTRUSDT RBNTUSDT VRSCUSDT
ENJUSDT CELOUSDT ONEUSDT PEAQUSDT QUBICUSDT
WEMIXUSDT ZETAUSDT ELFUSDT ALEOUSDT KDAUSDT
POLYXUSDT XCHUSDT DCRUSDT XRDUSDT SKLUSDT
SUPRAUSDT GLMRUSDT VANRYUSDT HEARTUSDT CSPRUSDT
DAGUSDT CHRUSDT BBUSDT ZANOUSDT SAGAUSDT
HIVEUSDT WAXPUSDT ALPHUSDT ORAIUSDT ERGUSDT
ONGUSDT MOVRUSDT AZEROUSDT QANXUSDT DUSKUSDT
TLOSUSDT SYSUSDT OMNIUSDT KUJIUSDT LYXUSDT
PEPUSDT XIONUSDT CUDOSUSDT NGLUSDT LTOUSDT
OASUSDT CTXCUSDT REIUSDT ROOTUSDT ELAUSDT
